Date,AAPL,GOOG,MSFT,TSLA
2025-01-02,242.75210571289062,189.8907470703125,415.51483154296875,379.2799987792969
2025-01-03,242.26431274414062,192.3810577392578,420.2499084472656,410.44000244140625
2025-01-06,243.89691162109375,197.19232177734375,424.7169494628906,411.04998779296875
2025-01-07,241.11947631835938,195.94717407226562,419.2770690917969,394.3599853515625
2025-01-08,241.60726928710938,194.63229370117188,421.4510192871094,394.94000244140625
2025-01-10,235.78363037109375,192.42088317871094,415.88214111328125,394.739990234375
2025-01-13,233.3446502685547,191.54429626464844,414.1350402832031,403.30999755859375
2025-01-14,232.22967529296875,190.3091278076172,412.6261901855469,396.3599853515625
2025-01-15,236.79901123046875,196.2161102294922,423.1882019042969,428.2200012207031
2025-01-16,227.23228454589844,193.65609741210938,421.47088623046875,413.82000732421875
2025-01-17,228.9445343017578,196.78392028808594,425.8883056640625,426.5
2025-01-21,221.6375732421875,198.8558349609375,425.3621826171875,424.07000732421875
2025-01-22,222.82223510742188,199.25428771972656,442.9325866699219,415.1099853515625
2025-01-23,222.6529998779297,198.8060302734375,443.4388427734375,412.3800048828125
2025-01-24,221.77694702148438,201.11703491210938,440.8082580566406,406.5799865722656
2025-01-27,228.82508850097656,193.01856994628906,431.3778381347656,397.1499938964844
2025-01-28,237.187255859375,196.3057861328125,443.92529296875,398.0899963378906
2025-01-29,238.2823028564453,196.4153289794922,439.0909118652344,389.1000061035156
2025-01-30,236.52027893066406,201.84420776367188,411.95111083984375,400.2799987792969
2025-01-31,234.93743896484375,204.8026885986328,412.0205993652344,404.6000061035156
2025-02-03,226.98341369628906,201.85415649414062,407.91094970703125,383.67999267578125
2025-02-04,231.75186157226562,206.90451049804688,409.3503112792969,392.2099914550781
2025-02-05,231.42332458496094,192.55038452148438,410.26361083984375,378.1700134277344
2025-02-06,232.16995239257812,192.56031799316406,412.7750244140625,374.32000732421875
2025-02-07,226.60513305664062,186.41427612304688,406.7494812011719,361.6199951171875
2025-02-10,226.8741912841797,187.47015380859375,409.201416015625,350.7300109863281
2025-02-11,231.82725524902344,186.34454345703125,408.4271240234375,328.5
2025-02-12,236.06277465820312,184.7108917236328,406.0447082519531,336.510009765625
2025-02-13,240.70689392089844,187.15142822265625,407.53369140625,355.94000244140625
2025-02-14,243.7664337158203,186.14532470703125,405.43914794921875,355.8399963378906
2025-02-18,243.6368865966797,185.07945251464844,406.64031982421875,354.1099853515625
2025-02-19,244.03550720214844,186.40432739257812,411.73272705078125,360.55999755859375
2025-02-20,244.9922637939453,185.9162139892578,413.9110412597656,354.3999938964844
2025-02-21,244.71319580078125,180.87582397460938,406.0332946777344,337.79998779296875
2025-02-24,246.25791931152344,180.4873504638672,401.8457336425781,330.5299987792969
2025-02-25,246.1981201171875,176.68215942382812,395.77825927734375,302.79998779296875
2025-02-26,239.5408935546875,174.0225067138672,397.5985412597656,290.79998779296875
2025-02-27,236.49131774902344,169.54994201660156,390.4368896484375,281.95001220703125
2025-02-28,241.01583862304688,171.55213928222656,394.87310791015625,292.9800109863281
2025-03-03,237.21881103515625,168.0059356689453,386.4184265136719,284.6499938964844
2025-03-04,235.1259765625,171.94061279296875,386.53778076171875,272.0400085449219
2025-03-05,234.93663024902344,174.3114013671875,398.881591796875,279.1000061035156
2025-03-06,234.5280303955078,173.534423828125,394.773681640625,263.45001220703125
2025-03-07,238.2552947998047,175.0684356689453,391.2127380371094,262.6700134277344
2025-03-10,226.70477294921875,167.34967041015625,378.13287353515625,222.14999389648438
2025-03-11,220.08740234375,165.52468872070312,378.42132568359375,230.5800018310547
2025-03-12,216.2405548095703,168.53640747070312,381.2262878417969,248.08999633789062
2025-03-13,208.96542358398438,164.2781219482422,376.7502746582031,240.67999267578125
2025-03-14,212.762451171875,167.1602020263672,386.4880676269531,249.97999572753906
2025-03-17,213.27072143554688,166.11306762695312,386.6273498535156,238.00999450683594
2025-03-18,211.96519470214844,162.22377014160156,381.4749450683594,225.30999755859375
2025-03-19,214.50648498535156,165.82386779785156,385.75201416015625,235.86000061035156
2025-03-20,213.37039184570312,164.5972442626953,384.7772521972656,236.25999450683594
2025-03-21,217.52618408203125,165.79396057128906,389.17364501953125,248.7100067138672
2025-03-24,219.977783203125,169.46385192871094,390.98394775390625,278.3900146484375
2025-03-25,222.9875030517578,172.31600952148438,393.0528869628906,288.1400146484375
2025-03-26,220.77505493164062,166.68150329589844,387.89056396484375,272.05999755859375
2025-03-27,223.087158203125,163.62989807128906,388.4972839355469,273.1300048828125
2025-03-28,217.1574249267578,155.63189697265625,376.78009033203125,263.54998779296875
2025-03-31,221.37301635742188,155.8014373779297,373.3883056640625,259.1600036621094
2025-04-01,222.42941284179688,158.4441680908203,380.15203857421875,268.4599914550781
2025-04-02,223.1270294189453,158.42422485351562,380.1023254394531,282.760009765625
2025-04-03,202.49754333496094,152.21131896972656,371.12042236328125,267.2799987792969
2025-04-04,187.738037109375,147.33473205566406,357.92120361328125,239.42999267578125
2025-04-07,180.84161376953125,148.8306121826172,355.9517822265625,233.2899932861328
2025-04-08,171.8323974609375,146.17791748046875,352.6693420410156,221.86000061035156
2025-04-09,198.17234802246094,160.61819458007812,388.40777587890625,272.20001220703125
2025-04-10,189.7710723876953,154.9438018798828,379.3164978027344,252.39999389648438
2025-04-11,197.47471618652344,158.96273803710938,386.378662109375,252.30999755859375
2025-04-14,201.82984924316406,161.02708435058594,385.7420654296875,252.35000610351562
2025-04-15,201.4511260986328,158.24472045898438,383.67315673828125,254.11000061035156
